"HostName";"Version";"Build";"Manufacturer";"Model";"vCenterServer";"SerialNumber";"Cluster";"ClusterNotes";"BootTime";"PowerState";"ConnectionState";"IpAddress";"SubnetMask";"DefaultGateway";"vMotionIPv4Address";"vMotionSubnetMask";"DnsServer";"SearchDomain";"MacAddress";"PhysicalLocation";"Notes";"VMs"
"esxi6903.tinu.cloud.ch";"6.7.0";"17499825";"HPE";"ProLiant DL380 Gen10";"vcsa0020.tinu.cloud.ch";"CZ202001ZN";"Oracle";"";"2022-02-02 13:47:53";"PoweredOn";"Connected";"10.90.18.103";"255.255.255.0";"10.90.18.1";"10.90.19.103";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"94:40:c9:f8:e4:56";"DCGA";"";"5"
"esxi6902.tinu.cloud.ch";"6.7.0";"17499825";"HPE";"ProLiant DL380 Gen10";"vcsa0020.tinu.cloud.ch";"CZ203506W3";"Oracle";"";"2023-05-12 10:06:27";"PoweredOn";"Connected";"10.90.18.122";"255.255.255.0";"10.90.18.1";"10.90.19.102";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"b4:7a:f1:36:e1:c8";"DCGA";"";"5"
"esxi9901.tinu.cloud.ch";"6.7.0";"17499825";"HPE";"ProLiant DL380 Gen10";"vcsa0020.tinu.cloud.ch";"CZ202001ZM";"Oracle";"";"2021-03-19 21:07:14";"PoweredOn";"Connected";"10.90.18.201";"255.255.255.0";"10.90.18.1";"10.90.19.201";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"94:40:c9:f6:39:50";"DCSG";"";"4"
"esxi9903.tinu.cloud.ch";"6.7.0";"17499825";"HPE";"ProLiant DL380 Gen10";"vcsa0020.tinu.cloud.ch";"CZ202001ZQ";"Oracle";"";"2021-03-19 18:49:34";"PoweredOn";"Connected";"10.90.18.203";"255.255.255.0";"10.90.18.1";"10.90.19.203";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"94:40:c9:f5:54:60";"DCSG";"";"4"
"esxi6904.tinu.cloud.ch";"6.7.0";"17499825";"HPE";"ProLiant DL380 Gen10";"vcsa0020.tinu.cloud.ch";"CZ202001ZL";"Oracle";"";"2022-02-02 13:15:06";"PoweredOn";"Connected";"10.90.18.104";"255.255.255.0";"10.90.18.1";"10.90.19.104";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"94:40:c9:f8:df:0a";"DCGA";"";"8"
"esxi9902.tinu.cloud.ch";"6.7.0";"17499825";"HPE";"ProLiant DL380 Gen10";"vcsa0020.tinu.cloud.ch";"CZ202001ZR";"Oracle";"";"2021-03-19 20:57:07";"PoweredOn";"Connected";"10.90.18.202";"255.255.255.0";"10.90.18.1";"10.90.19.202";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"94:40:c9:f7:2f:8c";"DCSG";"";"5"
"esxi6901.tinu.cloud.ch";"6.7.0";"17499825";"HPE";"ProLiant DL380 Gen10";"vcsa0020.tinu.cloud.ch";"CZ202001ZT";"Oracle";"";"2021-03-05 20:33:17";"PoweredOn";"Connected";"10.90.18.101";"255.255.255.0";"10.90.18.1";"10.90.19.101";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"94:40:c9:f8:ea:56";"DCGA";"mwalther, vmnic1, Inc 7644163, 2023-07-31";"6"
"esxi6091.tinu.cloud.ch";"7.0.3";"20842708";"HPE";"Synergy 480 Gen10";"vcsa0023.tinu.cloud.ch";"VCGG2M7035";"c4tn9080";"CaaS";"2023-07-25 12:36:55";"StandBy";"NotResponding";"10.90.25.13";"255.255.254.0";;"192.168.80.11";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"ea:95:a5:a0:00:fd";"DCGA";"";
"esxi9092.tinu.cloud.ch";"7.0.3";"20842708";"HPE";"Synergy 480 Gen10";"vcsa0023.tinu.cloud.ch";"VCGZ7LH04V";"c4tn9080";"CaaS";"2023-06-05 09:16:56";"PoweredOn";"Connected";"10.90.24.15";"255.255.254.0";;"192.168.80.13";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"26:ca:41:70:02:29";"DCSG";"";"2"
"esxi9091.tinu.cloud.ch";"7.0.3";"20842708";"HPE";"Synergy 480 Gen10";"vcsa0023.tinu.cloud.ch";"VCGZ7LH04G";"c4tn9080";"CaaS";"2023-05-16 14:05:57";"PoweredOn";"Connected";"10.90.25.14";"255.255.254.0";;"192.168.80.12";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"26:ca:41:70:01:ed";"DCSG";"";"3"
